time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.1297334589037768e-07,8.577561200971099e-08,10.008818850520914,7.79621114501694e-05,6.283008550869527,0.0,1.4314004352509754e-05,8.110772039709398e-06,0.29393212324246965,0.0037793027919491044,-0.009607467531132115,0.0,494.98760081645634,494.2802564101756,494.47484107203957,494.753097332908
0.12000000000000001,8.117812240018534e-06,3.5938772423005182e-06,10.034929760113501,5.852509337511691e-05,6.282640923457546,0.0,0.0003123868075188723,0.00012427591092329074,0.5763319168889384,-0.010147475160801809,5.5697123097140505e-05,0.0,490.3297456153427,491.047084061573,492.83812714629914,491.80787556480004
0.18,4.1149021338629054e-05,9.517197639861132e-06,10.078038392566521,6.282444236870051,6.282588756804584,0.0,0.0007916286300304917,-1.6675932100083463e-05,0.8604523421025005,-0.020594099703394816,-0.0027872536261301043,0.0,492.5363179626194,492.3260661142453,492.45007925794073,491.67697137618393
0.23999999999999996,0.00010200259833287763,-1.2918846033123527e-05,10.134247987182103,6.280754503122704,6.2828860494853025,0.0,0.0012259832355007174,-0.0008832024329659153,1.0130775106451018,-0.05099828819356451,0.017133043617386774,0.0,453.742013371893,455.33816766401196,454.79210350383886,452.3502578749
0.3,0.00017807483626603682,-0.00013426793871602481,10.20042332123299,6.2782184568287125,0.0007267546971121419,0.0,0.0011928969510185212,-0.003474950713986294,1.19259577917414,-0.028885036193153763,0.017034455248707777,0.0,461.82967356120827,461.82180741412554,462.26765774318426,464.0056852295796
0.36000000000000004,0.00022926189888495654,-0.00045868945586045857,10.276622187295745,6.277660508438821,0.0016948861227383816,0.0,0.0004038820252479713,-0.007447198644836002,1.347196190077901,0.014317682101010419,0.014274263363427303,0.0,455.66247632752743,455.4416922767061,453.3425045725111,456.80031186912584
0.4200000000000001,0.00021160815975838738,-0.0010250698378612326,10.362065438177105,6.278185097589697,0.0030220621538834536,0.0,-0.0011157116778252173,-0.011351391548766711,1.500723340017393,-0.005768316003696362,0.03442519214466132,0.0,454.85288421466413,456.4636675006276,455.8547491589178,454.2469418181889
0.48000000000000015,7.668349379002506e-05,-0.0018059688358296635,10.45420338919865,6.278065573414782,0.005683431486667168,0.0,-0.0036168950884152935,-0.014699924579105341,1.570447265197987,0.004655440423310977,0.05912804431110283,0.0,427.99452161225895,430.0927930288951,429.3886649884624,430.2720102611291
0.5400000000000001,-0.0002613488984095478,-0.0027845441099826115,10.549834870645153,6.277935946646863,0.009402767966117054,0.0,-0.007992929689586443,-0.01790651111865558,1.6172013091393684,-0.021489080409495046,0.06716939776261555,0.0,422.3524542399947,423.0483383567036,422.72542455627337,420.46669515448207
0.6000000000000002,-0.000962822975232256,-0.003978666060222421,10.651078341928475,6.276911704971205,0.013108464564193234,0.0,-0.015808318861184025,-0.022019966744041854,1.757370794022176,-0.009443547224103652,0.047837430755165895,0.0,453.2962315332546,451.7427595927864,451.04008645208046,452.0118463018313
0.6600000000000003,-0.0021875624237470436,-0.0054288339626333715,10.759087071765721,6.276393300498638,0.01631093990630017,0.0,-0.025319447356074356,-0.026372207770380407,1.8427814048675426,-0.007079672849789548,0.06262331236928514,0.0,434.19044582360453,435.4309702637026,435.71342457465295,435.91111022696754
0.7200000000000003,-0.00411522347564935,-0.007175622208061233,10.875978763921372,6.2762407960186355,0.020499508967199986,0.0,-0.039403440020054144,-0.03188426008263761,2.0532457483303608,0.00526480490693322,0.0812760346503486,0.0,473.7984287797911,475.2335091524225,472.7866431288241,473.7367755556675
0.7800000000000004,-0.0068681429140992865,-0.009213829372553797,10.999676896930453,6.276295721534865,0.025058681550282458,0.0,-0.05278561203955463,-0.03603745050916144,2.0699852983700238,-0.009633703001592272,0.062465076730488886,0.0,414.00401016654484,412.3505695372888,415.34380545589113,414.03515656272845
0.8400000000000004,-0.010582494695224666,-0.011524307986205098,11.127427184190045,6.2759011219325025,0.02946443423064693,0.0,-0.07145348815137884,-0.04102718115367956,2.18812621437343,-0.0010730888497115319,0.0893323250795886,0.0,445.1694899536055,447.36638596981976,447.04268273859003,447.73975854424157
0.9000000000000005,-0.01548803013150826,-0.014134144862920844,11.261353522405491,6.275642303838673,0.03474086307548774,0.0,-0.09259207192241226,-0.045981280829742975,2.275896220157322,-0.01174398581510398,0.08500256692326143,0.0,437.8898300706812,437.5360635003346,438.27775626133274,437.3900730761931
0.9600000000000005,-0.021795585724543716,-0.017054425461837965,11.401315969812131,6.275206943066056,0.03955147632314304,0.0,-0.118169198411751,-0.05141748799107843,2.3892672794625893,0.0004757776797042817,0.06817180967841495,0.0,447.0099841759811,445.6414431217097,445.68292737325834,446.68062856243876
1.0200000000000005,-0.029654941076933967,-0.020291494420324126,11.546072834051142,6.275214787190457,0.043087276224316184,0.0,-0.1441789782360592,-0.056482229489825314,2.4358455507647783,-0.0005684980481972222,0.02473377739373095,0.0,427.6506377032547,423.93679112133987,425.12517891965535,425.0356900740538
1.0800000000000005,-0.03920941103789797,-0.023846705093134246,11.695391422673469,6.274939248833757,0.04458454826372282,0.0,-0.1744469292739386,-0.06203728013839265,2.541202605901459,-0.014185551310308023,0.02539237573031804,0.0,444.5667386308769,444.6207970344617,445.0097111582579,443.8937770470942
