time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
0.8400000000000004,0.21066254352185448,1.5754645297756638,0.0,5.297524990920346,5.461336974485082,0.0,1.7104678290508992,1.9418146341681346,-7.5109423580015635,9.05980963620958,-4.350331812555268,0.0,423.2498429217902,332.0322230734733,482.5841595676418,589.0496733824924,1,115.45750302419624
0.8400000000000004,0.20209583084128158,1.5862569040768313,0.0,5.272457271429211,5.480302946679515,0.0,1.660623846688123,1.9637876489066144,-7.555536665932791,9.007658731384842,-4.253690724294306,0.0,421.9674968097731,332.8901476012265,483.6140873552638,589.0415642587816,2,115.457367436223
0.8400000000000004,0.18374360372784992,1.5710972605082794,0.0,5.339963175797237,5.508793551716014,0.0,1.5775595122263295,1.8467082823143106,-7.5453095011777975,9.102415530174746,-4.300599147200022,0.0,423.6860285003348,332.0078750533072,483.12505153307404,590.0202758541467,3,115.45708465538218
0.8400000000000004,0.19766990176601465,1.5705630134811188,0.0,5.316256854235565,5.487358881165054,0.0,1.643277945307847,1.8857046399483768,-7.525874502330497,9.062796095068194,-4.295621887382973,0.0,423.4125703079842,332.5439676476749,482.9381322224007,588.8853627471085,4,115.45734479643171
0.8400000000000004,0.19486407867428165,1.5867735242739502,0.0,4.9268298965550095,5.810528070084128,0.0,1.5488046403098843,1.8351882780387707,-7.923290899598381,7.53371416242714,-6.037311009565422,0.0,502.84226330737437,345.67345263304975,516.1047209544103,574.6972066494146,5,115.45734808038706
0.7800000000000004,-1.3622516988631495,1.3894818409501999,0.0,0.4487597017738594,6.241289720362645,0.0,-5.554980283869719,1.0512363580477533,-5.504861104744302,12.612652095033738,-16.335425000220326,0.0,792.1050776430402,533.1994626633067,522.3871993390461,709.6274934557844,6,108.62247353468736
0.6000000000000002,-0.35608718828798197,0.8433062323116948,0.0,4.665304507920144,2.8150987517213686,0.0,-0.23828280813600788,2.1678550553554645,-5.530452284463124,15.311245956893387,-13.50698668725366,0.0,703.2566196493412,494.86906128056245,542.9302129383806,757.473206549474,7,98.17831078541519
0.6600000000000003,-1.9994009946685711,0.7157259965540829,0.0,3.607777981773298,6.184083866950622,0.0,-8.071778679045217,1.523197122369296,-6.869379806539258,15.817307009776531,-11.419029500160208,0.0,618.3229335048286,518.8296885870076,507.1281214157139,723.4125598416462,8,104.98068785373731
0.6600000000000003,-2.270201436197419,0.6350406656627698,0.0,6.019703502689273,0.4552598740700011,0.0,-7.304450567863569,-0.38679744428703267,-6.84787903409612,16.901247347160112,-12.995477970303364,0.0,591.0862993826756,137.17194424161576,608.9759077660389,775.1897507451648,9,104.97397473555324
0.6600000000000003,-2.078848601504296,0.9858585259012163,0.0,2.657140933642051,6.188706934445403,0.0,-7.272883340924539,2.8323674003577017,-5.258097657341631,17.655746225014585,-11.520177387521356,0.0,458.69875703994154,365.82870193073364,519.1596456750239,708.2646196348718,10,104.96949410871295
0.6600000000000003,0.2880561407420417,0.8553479563085035,0.0,1.012636724861089,1.9439746953751893,0.0,0.8757969706191562,2.585276555523552,-5.593361411679396,16.719903493663338,-10.794016132791683,0.0,335.10056985796376,79.46418972606156,702.1899486078842,882.2216213761697,11,84.99533167067986
0.5400000000000001,0.5401657724893464,0.6526795658920098,0.0,2.2132276132655164,2.328384943296225,0.0,2.5444326969784097,0.49671479006572483,-7.442655916753789,14.412928813040129,-9.271930133481193,0.0,203.6329056962552,102.0210977414239,753.0942554602241,859.1918491231523,12,71.3643309682983
0.6000000000000002,1.0927595943827517,0.9610529339540098,0.0,3.069989754120039,2.9684821125191085,0.0,5.61961795446216,0.9488034313740568,-6.626571924052252,14.744134845682295,-10.378307118795671,0.0,196.13287062589092,53.460555764216146,784.3276877059279,878.0444397952441,13,98.17129557381608
0.9000000000000005,2.819433302634985,2.4745792940083686,0.0,3.7565807354278906,0.45700447346489526,0.0,2.6880386470477586,4.472099599518895,-7.070485256220802,18.70127486001702,-18.06408926651517,0.0,626.0668097346384,113.34341730644292,561.3250820422911,846.5975229687133,14,112.20388668506017
0.9000000000000005,0.48536412695245956,-0.38305960378869414,0.0,1.5646672296086184,2.8030517400619246,0.0,1.9448956354599645,-0.9028463136642821,-6.252883954335087,23.372780466377705,-22.686666569476436,0.0,801.9503946921054,28.4052936225484,344.6781109354292,887.19998232256,15,132.28085543834
0.7800000000000004,-1.4214129138153084,-0.154640157348412,0.0,4.990409244073291,2.3000293173224176,0.0,-3.53835694606354,-0.8633210789589827,-6.5553632796540295,20.074982261084944,-19.346150988618938,0.0,507.90434033174415,168.74376725809825,627.2511027448174,798.7934089557187,16,118.62580705119476
0.8400000000000004,1.161534037760331,-1.0611067119384512,0.0,1.453719215087622,5.82118256146736,0.0,5.391645216277552,-1.627542409105097,-5.593540651913021,19.526640509256016,-20.192374786974266,0.0,526.2922540358796,12.318964971276628,763.0157160875286,889.0811765287355,17,115.44063510445744
0.8400000000000004,2.866725536735963,-1.0309002988379445,0.0,5.720199866332171,3.1130302122689493,0.0,7.96453162569612,-0.4305525366629408,-5.309412868530359,19.775149791324882,-23.088354982989973,0.0,705.6293307714101,37.88314320542406,706.1604531242459,885.7518282249357,18,125.40895446785979
0.6000000000000002,1.0582286942450774,-1.6339807546445608,0.0,0.9935949321617894,6.281495519693273,0.0,4.638930960619297,-6.257204039732255,-3.3850804271827766,9.869180895347414,-17.89838046007566,0.0,185.8448337064903,248.61337244694818,827.8139845928005,889.3287912313112,19,88.1664299066776
